Ano,Município,Quantidade produzida (Toneladas),Valor da produção (Mil Reais),Área plantada ou destinada à colheita (Hectares),Área plantada ou destinada à colheita - percentual do total geral (Percentual)
2018,Pontes e Lacerda (MT),53152.0,50866.0,15100.0,52.29
2018,Porto Alegre do Norte (MT),103586.0,107039.0,28774.0,62.64
2018,Porto Esperidião (MT),0.0,0.0,0.0,0.0
2018,Porto Estrela (MT),0.0,0.0,0.0,0.0
2018,Porto dos Gaúchos (MT),526612.0,473951.0,173000.0,63.46
2018,Poxoréu (MT),181260.0,193345.0,57000.0,58.28
2018,Primavera do Leste (MT),890400.0,957180.0,280000.0,63.03
2018,Querência (MT),1176000.0,1176000.0,350000.0,73.84
2018,Reserva do Cabaçal (MT),0.0,0.0,0.0,0.0
2018,Ribeirão Cascalheira (MT),296194.0,307793.0,89756.0,86.95
2018,Ribeirãozinho (MT),75000.0,75000.0,25000.0,72.99
2018,Rio Branco (MT),0.0,0.0,0.0,0.0
2018,Rondolândia (MT),0.0,0.0,0.0,0.0
2018,Rondonópolis (MT),287300.0,359125.0,85000.0,70.39
2018,Rosário Oeste (MT),93534.0,91944.0,26360.0,77.62
2018,Salto do Céu (MT),5029.0,4944.0,1612.0,66.83
2018,Santa Carmem (MT),342000.0,301986.0,100000.0,58.18
2018,Santa Cruz do Xingu (MT),98929.0,102226.0,28428.0,75.41
2018,Santa Rita do Trivelato (MT),501600.0,451440.0,152000.0,58.48
2018,Santa Terezinha (MT),93600.0,96720.0,26000.0,59.73
2018,Santo Afonso (MT),44520.0,44520.0,14000.0,66.23
2018,Santo Antônio do Leste (MT),333900.0,356161.0,105000.0,55.27
2018,Santo Antônio do Leverger (MT),83847.0,71270.0,20920.0,56.74
2018,Sapezal (MT),1235400.0,1158595.0,355000.0,52.19
2018,Serra Nova Dourada (MT),21840.0,19656.0,7000.0,90.91
2018,Sinop (MT),515040.0,454780.0,148000.0,57.36
2018,Sorriso (MT),2232000.0,2008800.0,600000.0,54.87
2018,São Félix do Araguaia (MT),746428.0,671785.0,225507.0,68.79
2018,São José do Povo (MT),0.0,0.0,0.0,0.0
2018,São José do Rio Claro (MT),390000.0,379041.0,120000.0,66.21
2018,São José do Xingu (MT),254520.0,263003.0,70700.0,60.37
2018,São José dos Quatro Marcos (MT),7308.0,8182.0,2100.0,79.4
2018,São Pedro da Cipa (MT),7800.0,8450.0,2500.0,55.38
2018,Tabaporã (MT),445200.0,400680.0,140000.0,55.33
2018,Tangará da Serra (MT),368880.0,338263.0,106000.0,60.0
2018,Tapurah (MT),597600.0,577377.0,180000.0,58.97
2018,Terra Nova do Norte (MT),43689.0,37136.0,14500.0,65.3
2018,Tesouro (MT),68640.0,74932.0,22000.0,63.91
2018,Torixoréu (MT),35790.0,35671.0,11930.0,88.54
2018,União do Sul (MT),192500.0,161700.0,62500.0,69.25
2018,Vale de São Domingos (MT),13200.0,11440.0,4000.0,54.82
2018,Vera (MT),460200.0,402675.0,130000.0,55.68
2018,Vila Bela da Santíssima Trindade (MT),60397.0,56370.0,19600.0,61.05
2018,Vila Rica (MT),129240.0,133548.0,35900.0,69.97
2018,Várzea Grande (MT),0.0,0.0,0.0,0.0
2018,Água Boa (MT),528000.0,552198.0,160000.0,83.47
2019,Acorizal (MT),0.0,0.0,0.0,0.0
2019,Alta Floresta (MT),92156.0,88470.0,25599.0,60.82
2019,Alto Araguaia (MT),122696.0,172388.0,35876.0,64.72
2019,Alto Boa Vista (MT),87180.0,78462.0,27415.0,78.41
2019,Alto Garças (MT),287299.0,404517.0,92083.0,65.7
2019,Alto Paraguai (MT),21000.0,20307.0,7000.0,61.37
2019,Alto Taquari (MT),162464.0,227450.0,47504.0,36.83
2019,Apiacás (MT),0.0,0.0,0.0,0.0
2019,Araguaiana (MT),8201.0,9001.0,2485.0,77.92
2019,Araguainha (MT),2244.0,3142.0,680.0,86.4
2019,Araputanga (MT),0.0,0.0,0.0,0.0
2019,Arenápolis (MT),7500.0,7253.0,2500.0,61.91
2019,Aripuanã (MT),4680.0,4703.0,1500.0,17.99
2019,Barra do Bugres (MT),4040.0,4109.0,1295.0,2.53
2019,Barra do Garças (MT),83267.0,90206.0,26688.0,91.64
2019,Barão de Melgaço (MT),0.0,0.0,0.0,0.0
2019,Bom Jesus do Araguaia (MT),367948.0,336058.0,97341.0,64.29
2019,Brasnorte (MT),772800.0,738542.0,230000.0,59.15
2019,Campinápolis (MT),104400.0,99222.0,29000.0,76.92
2019,Campo Novo do Parecis (MT),1276800.0,1271054.0,380000.0,48.61
2019,Campo Verde (MT),673920.0,739068.0,208000.0,52.88
2019,Campos de Júlio (MT),667590.0,656688.0,202300.0,52.53
2019,Canabrava do Norte (MT),91942.0,95772.0,26420.0,69.28
2019,Canarana (MT),874500.0,904845.0,265000.0,74.03
2019,Carlinda (MT),37768.0,36257.0,10491.0,60.89
2019,Castanheira (MT),0.0,0.0,0.0,0.0
2019,Chapada dos Guimarães (MT),104000.0,103272.0,26000.0,50.17
2019,Cláudia (MT),355736.0,345804.0,103112.0,57.91
2019,Cocalinho (MT),33482.0,36272.0,9790.0,94.68
2019,Colniza (MT),0.0,0.0,0.0,0.0
2019,Colíder (MT),50644.0,48618.0,14068.0,56.93
2019,Comodoro (MT),254400.0,258725.0,80000.0,62.49
2019,Confresa (MT),145080.0,157170.0,37200.0,65.78
2019,Conquista D'Oeste (MT),21103.0,21103.0,5583.0,63.85
2019,Cotriguaçu (MT),936.0,936.0,300.0,6.24
2019,Cuiabá (MT),0.0,0.0,0.0,0.0
2019,Curvelândia (MT),0.0,0.0,0.0,0.0
2019,Cáceres (MT),39287.0,42552.0,11998.0,74.47
2019,Denise (MT),10156.0,10329.0,3255.0,5.66
2019,Diamantino (MT),1138500.0,1100930.0,345000.0,50.31
2019,Dom Aquino (MT),112320.0,122429.0,36000.0,48.92
2019,Feliz Natal (MT),471960.0,482579.0,138000.0,58.01
2019,Figueirópolis D'Oeste (MT),0.0,0.0,0.0,0.0
2019,Gaúcha do Norte (MT),666600.0,661934.0,220000.0,70.46
2019,General Carneiro (MT),179860.0,194848.0,54503.0,63.12
2019,Glória D'Oeste (MT),0.0,0.0,0.0,0.0
2019,Guarantã do Norte (MT),41580.0,40402.0,12600.0,52.25
2019,Guiratinga (MT),227700.0,311038.0,69000.0,65.43
2019,Indiavaí (MT),0.0,0.0,0.0,0.0
2019,Ipiranga do Norte (MT),686400.0,663062.0,220000.0,57.66
2019,Itanhangá (MT),279000.0,265050.0,100000.0,61.94
2019,Itaúba (MT),149424.0,135976.0,48000.0,66.28
2019,Itiquira (MT),594000.0,831600.0,180000.0,60.8
2019,Jaciara (MT),141000.0,152751.0,47000.0,58.46
2019,Jangada (MT),2636.0,2636.0,848.0,54.22
2019,Jauru (MT),0.0,0.0,0.0,0.0
2019,Juara (MT),140800.0,126720.0,44000.0,63.8
2019,Juruena (MT),1650.0,1650.0,500.0,19.23
2019,Juscimeira (MT),85860.0,93587.0,27000.0,59.08
2019,Juína (MT),27360.0,27360.0,8000.0,50.28
2019,Lambari D'Oeste (MT),3402.0,3742.0,900.0,8.28
2019,Lucas do Rio Verde (MT),789600.0,785652.0,235000.0,52.1
2019,Luciara (MT),1908.0,1717.0,600.0,48.98
2019,Marcelândia (MT),201500.0,181350.0,65000.0,71.26
2019,Matupá (MT),135300.0,130789.0,41000.0,51.5
2019,Mirassol d'Oeste (MT),13748.0,14891.0,3420.0,31.38
2019,Nobres (MT),132217.0,135522.0,40770.0,62.82
2019,Nortelândia (MT),81120.0,83824.0,26000.0,65.29
2019,Nossa Senhora do Livramento (MT),1896.0,1896.0,600.0,30.24
2019,Nova Bandeirantes (MT),192.0,186.0,60.0,4.57
2019,Nova Brasilândia (MT),35476.0,35476.0,12670.0,73.06
2019,Nova Canaã do Norte (MT),146267.0,140416.0,39319.0,60.71
2019,Nova Guarita (MT),41400.0,39744.0,11500.0,60.28
2019,Nova Lacerda (MT),66040.0,66040.0,19310.0,73.27
2019,Nova Marilândia (MT),56760.0,54887.0,17200.0,65.81
2019,Nova Maringá (MT),648000.0,625968.0,200000.0,67.02
2019,Nova Monte Verde (MT),4527.0,4364.0,1509.0,47.71
2019,Nova Mutum (MT),1322580.0,1300096.0,402000.0,57.03
2019,Nova Nazaré (MT),49500.0,49418.0,15000.0,81.9
2019,Nova Olímpia (MT),0.0,0.0,0.0,0.0
2019,Nova Santa Helena (MT),79464.0,74299.0,24080.0,67.84
2019,Nova Ubiratã (MT),1275357.0,1281721.0,366482.0,52.18
2019,Nova Xavantina (MT),195000.0,208182.0,65000.0,80.09
2019,Novo Horizonte do Norte (MT),13440.0,12096.0,4200.0,51.14
2019,Novo Mundo (MT),138600.0,127512.0,42000.0,60.12
2019,Novo Santo Antônio (MT),5406.0,4811.0,1700.0,66.02
2019,Novo São Joaquim (MT),196638.0,213024.0,61836.0,53.22
2019,Paranatinga (MT),795600.0,790293.0,260000.0,68.04
2019,Paranaíta (MT),28451.0,27313.0,7923.0,67.29
2019,Pedra Preta (MT),224278.0,250445.0,65964.0,56.94
2019,Peixoto de Azevedo (MT),92800.0,89088.0,29000.0,60.46
2019,Planalto da Serra (MT),81589.0,81018.0,26663.0,90.71
2019,Poconé (MT),26669.0,26482.0,8070.0,90.23
2019,Pontal do Araguaia (MT),2940.0,3185.0,1050.0,54.35
2019,Ponte Branca (MT),353.0,494.0,107.0,64.07
2019,Pontes e Lacerda (MT),72376.0,72376.0,19456.0,57.83
2019,Porto Alegre do Norte (MT),112530.0,116281.0,30250.0,61.43
2019,Porto Esperidião (MT),7965.0,8430.0,2314.0,57.63
2019,Porto Estrela (MT),0.0,0.0,0.0,0.0
2019,Porto dos Gaúchos (MT),589380.0,562858.0,178600.0,58.66
2019,Poxoréu (MT),207360.0,228096.0,64000.0,60.85
2019,Primavera do Leste (MT),842400.0,940683.0,270000.0,61.71
2019,Querência (MT),1101600.0,1046520.0,360000.0,73.53
2019,Reserva do Cabaçal (MT),0.0,0.0,0.0,0.0
2019,Ribeirão Cascalheira (MT),297000.0,262845.0,90000.0,85.03
2019,Ribeirãozinho (MT),67106.0,89922.0,20335.0,68.73
2019,Rio Branco (MT),0.0,0.0,0.0,0.0
2019,Rondolândia (MT),0.0,0.0,0.0,0.0
2019,Rondonópolis (MT),272000.0,380800.0,85000.0,69.46
2019,Rosário Oeste (MT),87524.0,89187.0,25960.0,74.16
2019,Salto do Céu (MT),6732.0,6899.0,1650.0,72.21
2019,Santa Carmem (MT),400200.0,395193.0,115000.0,56.7
